gene_id,start,end,seqnames,strand
ENSG00000173848.18,5446609,5458222,chr10,+
ENSG00000102893.15,47461336,47598036,chr16,+
ENSG00000071575.11,12716910,12724825,chr2,+
ENSG00000166012.16,93730281,93741495,chr11,-
ENSG00000101247.17,13785050,13817228,chr20,+
ENSG00000204356.13,31952229,31959038,chr6,-
ENSG00000007237.18,9916990,10114553,chr17,-
ENSG00000066697.14,100427277,100445547,chr9,+
ENSG00000100296.13,29508329,29553766,chr22,-
ENSG00000080986.12,2571565,2582879,chr18,+
ENSG00000197616.11,23381990,23408277,chr14,-
ENSG00000084463.7,14786478,14803571,chr12,-
ENSG00000118564.14,15623990,15655295,chr4,-
ENSG00000118702.9,37251086,37261835,chr20,-
ENSG00000196236.12,40857097,40927505,chr22,+
ENSG00000106628.10,44114687,44123532,chr7,-
ENSG00000161692.17,44708844,44752264,chr17,+
ENSG00000160055.19,32214472,32222369,chr1,-
ENSG00000169180.11,28097979,28133925,chr16,-
ENSG00000131507.10,142108788,142154443,chr5,+
ENSG00000086015.20,46002811,46036124,chr1,+
ENSG00000196924.14,154348530,154353456,chrX,-
ENSG00000120549.17,24449433,24546481,chr10,+
chr2:3379000,3379686,3381620,chr2,+
ENSG00000107959.15,3137728,3158087,chr10,-
ENSG00000114686.8,131462212,131502969,chr3,-
ENSG00000047315.15,56978896,57031158,chr4,+
ENSG00000092201.9,21351479,21384013,chr14,-
ENSG00000029363.16,136258294,136289784,chr6,-
ENSG00000120697.8,36949849,36999367,chr13,-
ENSG00000138592.13,50424399,50499695,chr15,+
ENSG00000162736.15,160343386,160358952,chr1,+
ENSG00000163510.13,179944876,180007113,chr2,-
ENSG00000164054.15,48467876,48504129,chr3,-
ENSG00000146701.11,76048067,76066611,chr7,+
ENSG00000013306.15,44319627,44324870,chr17,-
ENSG00000141030.12,17246616,17281293,chr17,-
ENSG00000115806.12,170929197,170966601,chr2,+
chr20:45970000,45970756,45972203,chr20,-
ENSG00000277957.1,7572826,7579005,chr17,+
ENSG00000047249.17,53715670,53843259,chr8,-
ENSG00000152234.15,46084150,46098315,chr18,-
ENSG00000110011.13,64230567,64234352,chr11,+
ENSG00000142186.16,65525085,65538675,chr11,+
ENSG00000116885.18,36417906,36450451,chr1,-
ENSG00000075884.13,143435264,143768352,chr2,+
ENSG00000197580.11,112175510,112218157,chr11,+
